Terms,Definition 1,Citation 1,Definition 2,Citation 2,Definition 3,Citation 3,Definition 4,Citation 4,Definition 5,Citation 5,Related terms and synonyms,Legal definition applicable
criterion validity,"compares responses to future performance  or to those obtained from other, more well-established surveys. Criterion validity is made up two subcategories: predictive and concurrent. Predictive validity refers to the extent to which a survey measure  forecasts future performance. A graduate school entry examination that predicts who will do well in graduate school has predictive validity. Concurrent validity is  demonstrated when two assessments agree or a new measure is compared favorably with one that is already considered 
valid.",fink_survey_2010,"an index of how well a test correlates with an established standard of comparison (i.e., a criterion). Criterion validity is divided into three types: predictive validity, concurrent validity, and retrospective validity. For example, if a measure of criminal behavior is valid, then it should be possible to use it to predict whether an individual (a) will be arrested in the future for a criminal violation, (b) is currently breaking the law, and (c) has a previous criminal record.",APA_criterion_validity,,,,,,,criterion-referenced validity; criterion-related validity,
crowdsource,"a type of participative online activity in which an individual, an institution, a non-profit organization, or company proposes to a group of individuals of varying knowledge, heterogeneity, and number, via a flexible open call, the voluntary undertaking of a task. ",Enrique,,,,,,,,,,
customer,"The beneficiary of the execution of an automated task, process, or service.",IEEE_Guide_IPA,,,,,,,,,,
cybersecurity,"Prevention of damage to, protection of, and restoration of computers, electronic communications systems, electronic communications services, wire communication, and electronic communication, including information contained therein, to ensure its availability, integrity, authentication, confidentiality, and nonrepudiation.",SP800-37,,,,,,,,,,
dark pattern,"“Dark pattern” means a user interface designed or manipulated with the substantial effect of subverting or impairing user autonomy, decisionmaking, or choice, as further defined by regulation.",CCPA,,,,,,,,,,
data,"Characteristics or information, usually numerical, that are collected through observation. ",OECD,"re-interpretable representation of information ina formalized manner suitable for communication, interpretation or processing","aime_measurement_2022, citing ISO/IEC TR 24029-1",,,,,,,,
data analytics,"the process of applying graphical, statistical, or quantitative techniques to a set of observations or measurements in order to summarize it or to find general patterns.",APA_data_analysis,"Data analysis is the process of transforming raw data into usable information, often presented in the form of a published analytical article, in order to add value to the statistical output. ",OECD,,,,,,,,
data cleaning,"Data Cleaning is the process of identifying, correcting, or removing inaccurate or corrupt data records","Ranschaert,_Erik",,,,,,,,,,
data control,management oversight of information policies for an organization’s information; observing and reporting on how processes are working and managing issues.,Egnyte,,,,,,,,,,
data dredging,A statistical bias in which testing huge numbers of hypotheses of a dataset may appear to yield statistical significance even when the results are statistically nonsignificant.,SP1270,,,,,,,,,statistical bias; p-hacking,
data drift,The change in model input data that leads to model performance degradation.,Microsoft_Azure_documentation,,,,,,,,,,
data-driven,Data-driven decision making  (DDD) refers to the practice of basing decisions on the analysis of data rather than purely on intuition.,provost_data_2013,,,,,,,,,,
data fabric,"A data corpus, after the application of semantic mapping, relevant ontologies, and data seeding sufficient for artificial intelligence (AI) or machine learning algorithms to provide meaningful insight, prediction, and/or prescription. ",IEEE_Guide_IPA,,,,,,,,,,
